id,Story,StoryText,user,fun,goal,nonfun
4527,story 4527,"As an application administrator, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.",application administrator, know who funded the , track the funder specific ,NULL
4528,story 4528,"As an system admin, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.",system admin, know who funded the , track the funder specific ,NULL
4529,story 4529,"As an system administrator, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.",system administrator, know who funded the , track the funder specific ,NULL
4530,story 4530,"As an sys admin, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.",sys admin, know who funded the , track the funder specific ,NULL
4531,story 4531,"As an sys administrator, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.",sys administrator, know who funded the , track the funder specific ,NULL
4532,story 4532,"As a data director, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.",data director, know which kind of , determine what basic support ,NULL
4533,story 4533,"As a data supervisor, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.",data supervisor, know which kind of , determine what basic support ,NULL
4534,story 4534,"As a data chief, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.",data chief, know which kind of , determine what basic support ,NULL
4535,story 4535,"As an IT employee member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.",IT employee member, know which kind of , determine what basic support ,NULL
4536,story 4536,"As an archivemanager, I want to know in advance the conservation period of data, so that I can best organize the service by adapting the preservation actions.",archivemanager, know in advance the , best organize the service ,best
4537,story 4537,"As a data director, I want to document all rights necessary for managing the data, so that I can curate and preserve the data.",data director, document all rights necessary , curate and preserve the ,NULL
4538,story 4538,"As a data supervisor, I want to document all rights necessary for managing the data, so that I can curate and preserve the data.",data supervisor, document all rights necessary , curate and preserve the ,NULL
4539,story 4539,"As a data chief, I want to document all rights necessary for managing the data, so that I can curate and preserve the data.",data chief, document all rights necessary , curate and preserve the ,NULL
4540,story 4540,"As a data director, I want to know what the content of the data is, so that I can check whether the necessary expertise for maintaining intellectual reusability is available.",data director, know what the content , check whether the necessary ,NULL
